Title,Author,Year,Method/Framework,Development Methodology,Method/Framework Objective,Phrase_Method_and_Objective,Phrase_TCIM_applicability,Subcategory,Category,C1_LimitedEvidence,C2_ComplexHolistic,C3_CulturalEquityPatient,C4_DataFeasibility,C5_TCIMContextCompatibility,Final_Score_TCIM,TCIM_suitability_level,RND
Methods for the estimation of the National Institute for Health and Care Excellence cost-effectiveness threshold,"Claxton, K.",2015,"The authors propose an empirical estimation method for the NICE cost-effectiveness threshold based on routinely available NHS data, specifically programme budgeting (PB) data. The method involves econometric analysis of the relationship between changes in overall NHS expenditure and changes in mortality across primary care trusts (PCTs) and programme budget categories (PBCs). This is extended to translate mortality effects into life-years and quality-adjusted life-years (QALYs) by estimating quality-of-life (QoL) associated with additional years of life and direct QoL impacts. The approach treats the threshold as the additional cost imposed on the NHS to forgo one QALY through displacement, reflecting opportunity costs. The method accounts for uncertainty and allows for periodic updates using routinely collected data, facilitating accountability and predictability. It also considers the scale of budget impact and local variation in displacement decisions, focusing on average effects across the NHS rather than specific local disinvestments.","The authors developed methods to estimate the NICE cost-effectiveness threshold using routinely available data by estimating the relationship between changes in overall NHS expenditure and changes in mortality across programme budget categories (PBCs). They extended earlier econometric analyses of primary care trust (PCT) spending and disease-specific mortality, estimating the impact of marginal increases or decreases in overall NHS expenditure on spending in each of the 23 PBCs and linking these to mortality outcomes. They then translated mortality effects into life-years and quality-adjusted life-years (QALYs) by estimating quality-of-life (QoL) associated with additional years of life and direct QoL impacts. The approach used mortality and life-year effects as surrogate outcomes for a more complete measure of health effects of expenditure changes. The methodology also incorporated uncertainty analysis and considered the impact of investment, disinvestment, and budget impact on the threshold. The methods were designed to facilitate regular updates using routinely available data and to reflect the average displacement decisions across the NHS rather than specific local decisions.","The objective of the method/framework developed is to estimate the National Institute for Health and Care Excellence (NICE) cost-effectiveness threshold by providing a conceptual framework to define the threshold and its empirical estimation, estimating the relationship between NHS expenditure and mortality using programme budgeting data, extending the measure of health effects to quality-adjusted life-years (QALYs) by estimating quality-of-life impacts, and presenting the best estimate of the cost-effectiveness threshold for policy purposes.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose an empirical estimation method for the NICE cost-effectiveness threshold based on routinely available NHS data, specifically programme budgeting (PB) data. The method involves econometric analysis of the relationship between changes in overall NHS expenditure and changes in mortality across primary care trusts (PCTs) and programme budget categories (PBCs). This is extended to translate mortality effects into life-years and quality-adjusted life-years (QALYs) by estimating quality-of-life (QoL) associated with additional years of life and direct QoL impacts. The approach treats the threshold as the additional cost imposed on the NHS to forgo one QALY through displacement, reflecting opportunity costs. The method accounts for uncertainty and allows for periodic updates using routinely collected data, facilitating accountability and predictability. It also considers the scale of budget impact and local variation in displacement decisions, focusing on average effects across the NHS rather than specific local disinvestments. Using the following development approach: The authors developed methods to estimate the NICE cost-effectiveness threshold using routinely available data by estimating the relationship between changes in overall NHS expenditure and changes in mortality across programme budget categories (PBCs). They extended earlier econometric analyses of primary care trust (PCT) spending and disease-specific mortality, estimating the impact of marginal increases or decreases in overall NHS expenditure on spending in each of the 23 PBCs and linking these to mortality outcomes. They then translated mortality effects into life-years and quality-adjusted life-years (QALYs) by estimating quality-of-life (QoL) associated with additional years of life and direct QoL impacts. The approach used mortality and life-year effects as surrogate outcomes for a more complete measure of health effects of expenditure changes. The methodology also incorporated uncertainty analysis and considered the impact of investment, disinvestment, and budget impact on the threshold. The methods were designed to facilitate regular updates using routinely available data and to reflect the average displacement decisions across the NHS rather than specific local decisions. to address the following objective: The objective of the method/framework developed is to estimate the National Institute for Health and Care Excellence (NICE) cost-effectiveness threshold by providing a conceptual framework to define the threshold and its empirical estimation, estimating the relationship between NHS expenditure and mortality using programme budgeting data, extending the measure of health effects to quality-adjusted life-years (QALYs) by estimating quality-of-life impacts, and presenting the best estimate of the cost-effectiveness threshold for policy purposes.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Uncertainty & limited evidence methods,Evidence Integration & Generation,3,2,1,2,1,1.8,Moderate,0.731770998
Development of an international template to support patient submissions in Health Technology Assessments,"Cook, N.",2021,"The authors propose the development of an international Summary Information for Patient Groups (SIP) template to support patient submissions in Health Technology Assessments (HTAs). This template is based on the Scottish Medicines Consortium’s (SMC) SIP experience and includes four key sections: disease background information; information on the new treatment and its potential therapeutic benefits; information on the economic value of the new treatment; and further resources. The template is designed to be adaptable locally and is supported by guidance documents to assist industry, HTA bodies, and patient groups in its completion, assessment, and use.","The authors developed the international SIP template by collecting qualitative data through web-based surveys of pharmaceutical companies and patient groups familiar with the SMC SIP, semistructured interviews with representatives from HTA bodies, and discussions with patient groups less familiar with the SIP. These qualitative data informed the development of the international SIP template and associated guidance documents.","The objective of the method/framework developed is to create an international template to support patient submissions in Health Technology Assessments (HTAs), based on the experience and feedback from the implementation and use of the Scottish Medicines Consortium’s (SMC) Summary Information for Patient Groups (SIP).","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose the development of an international Summary Information for Patient Groups (SIP) template to support patient submissions in Health Technology Assessments (HTAs). This template is based on the Scottish Medicines Consortium’s (SMC) SIP experience and includes four key sections: disease background information; information on the new treatment and its potential therapeutic benefits; information on the economic value of the new treatment; and further resources. The template is designed to be adaptable locally and is supported by guidance documents to assist industry, HTA bodies, and patient groups in its completion, assessment, and use. Using the following development approach: The authors developed the international SIP template by collecting qualitative data through web-based surveys of pharmaceutical companies and patient groups familiar with the SMC SIP, semistructured interviews with representatives from HTA bodies, and discussions with patient groups less familiar with the SIP. These qualitative data informed the development of the international SIP template and associated guidance documents. to address the following objective: The objective of the method/framework developed is to create an international template to support patient submissions in Health Technology Assessments (HTAs), based on the experience and feedback from the implementation and use of the Scottish Medicines Consortium’s (SMC) Summary Information for Patient Groups (SIP).","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Patient-centered valuation,Value & Decision-Making Frameworks,1,2,3,1,3,2,High,0.474151209
Plain language summaries supporting patient involvement: lessons and guidance from HTAi Patient and Citizen Involvement Interest Group (PCIG),"Coombes, M. A.",2025,"The authors propose an international Summary Information for Patient Groups template, developed by the HTAi Patient and Citizen Involvement in HTA Interest Group (PCIG), to provide plain language summaries of new medicines being assessed in HTA processes. This template is designed to support effective patient involvement by providing clear, accessible information, and is accompanied by guidance for companies, HTA bodies, and patient organizations. The method includes piloting the template in HTA processes (e.g., by NICE in England and PBAC in Australia), gathering multi-stakeholder feedback through workshops, surveys, interviews, and working groups, and refining the template and guidance accordingly.","The methodology involved piloting the International Summary template in HTA processes in England (NICE) and Australia (CEEU and PBAC). Feedback was gathered through workshops, surveys, stakeholder interviews, public consultations, and a Short-Life Working Group (SLWG) including patient organizations. An advisory board also provided insights. The HTAi PCIG Project Subcommittee analyzed reports from these pilots over two years to evaluate the template's usability, impact, and challenges, leading to recommendations and guidance for implementation.","The objective of the developed method/framework (the international Summary Information for Patient Groups template) is to provide plain language summaries of new medicines being assessed to support effective patient involvement across HTA processes by providing clear, accessible information that empowers patient organizations to contribute meaningfully to HTA.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose an international Summary Information for Patient Groups template, developed by the HTAi Patient and Citizen Involvement in HTA Interest Group (PCIG), to provide plain language summaries of new medicines being assessed in HTA processes. This template is designed to support effective patient involvement by providing clear, accessible information, and is accompanied by guidance for companies, HTA bodies, and patient organizations. The method includes piloting the template in HTA processes (e.g., by NICE in England and PBAC in Australia), gathering multi-stakeholder feedback through workshops, surveys, interviews, and working groups, and refining the template and guidance accordingly. Using the following development approach: The methodology involved piloting the International Summary template in HTA processes in England (NICE) and Australia (CEEU and PBAC). Feedback was gathered through workshops, surveys, stakeholder interviews, public consultations, and a Short-Life Working Group (SLWG) including patient organizations. An advisory board also provided insights. The HTAi PCIG Project Subcommittee analyzed reports from these pilots over two years to evaluate the template's usability, impact, and challenges, leading to recommendations and guidance for implementation. to address the following objective: The objective of the developed method/framework (the international Summary Information for Patient Groups template) is to provide plain language summaries of new medicines being assessed to support effective patient involvement across HTA processes by providing clear, accessible information that empowers patient organizations to contribute meaningfully to HTA.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Stakeholder collaboration frameworks,HTA Process Improvements,2,3,3,2,3,2.6,High,0.566677747
HTA methodology and value frameworks for evaluation and policy making for cell and gene therapies,"Coyle, D.",2020,"The authors propose adaptations to existing HTA frameworks to better evaluate cell and gene therapies, including acceptance of indirect comparisons when RCTs are not feasible, validation and use of surrogate endpoints, incorporation of additional elements of value beyond QALYs (such as severity of disease, value of hope, insurance value, and scientific spill-over) through methods like augmented cost-effectiveness analysis (ACEA) and multi-criteria decision analysis (MCDA), use of adjusted discount rates including scenarios with zero or near-zero discounting, and value-based pricing approaches that may include surplus distribution models to address affordability and sustainability. They also recommend managed entry agreements, pay-for-performance models, annuity payments, and lump-sum models as reimbursement mechanisms. Coordination of real-world evidence generation and early dialogues between HTA bodies and manufacturers are also emphasized.",The authors conducted a comprehensive literature review on clinical and economic evaluation of cell and gene therapies to identify limitations of current HTA frameworks and propose adaptations. They also identified challenges related to financing these treatments and highlighted payment mechanisms proposed to overcome these. The paper synthesizes expert opinions from health technology assessment and clinical experts to identify methodological and policy options to improve assessment and policy making for cell and gene therapies.,"The objective proposed by the authors for the method/framework developed is to improve the assessment of cell and gene (C&G) therapies by adapting existing health technology assessment (HTA) frameworks to better handle the unique challenges of these therapies, such as limited clinical efficacy data, uncertainty about long-term outcomes, and high upfront costs, thereby enabling timely, appropriate, and sustainable patient access to these transformative therapies.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose adaptations to existing HTA frameworks to better evaluate cell and gene therapies, including acceptance of indirect comparisons when RCTs are not feasible, validation and use of surrogate endpoints, incorporation of additional elements of value beyond QALYs (such as severity of disease, value of hope, insurance value, and scientific spill-over) through methods like augmented cost-effectiveness analysis (ACEA) and multi-criteria decision analysis (MCDA), use of adjusted discount rates including scenarios with zero or near-zero discounting, and value-based pricing approaches that may include surplus distribution models to address affordability and sustainability. They also recommend managed entry agreements, pay-for-performance models, annuity payments, and lump-sum models as reimbursement mechanisms. Coordination of real-world evidence generation and early dialogues between HTA bodies and manufacturers are also emphasized. Using the following development approach: The authors conducted a comprehensive literature review on clinical and economic evaluation of cell and gene therapies to identify limitations of current HTA frameworks and propose adaptations. They also identified challenges related to financing these treatments and highlighted payment mechanisms proposed to overcome these. The paper synthesizes expert opinions from health technology assessment and clinical experts to identify methodological and policy options to improve assessment and policy making for cell and gene therapies. to address the following objective: The objective proposed by the authors for the method/framework developed is to improve the assessment of cell and gene (C&G) therapies by adapting existing health technology assessment (HTA) frameworks to better handle the unique challenges of these therapies, such as limited clinical efficacy data, uncertainty about long-term outcomes, and high upfront costs, thereby enabling timely, appropriate, and sustainable patient access to these transformative therapies.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",MCDA / structured multi-criteria frameworks,Value & Decision-Making Frameworks,2,2,3,2,3,2.4,High,0.618203982
Decision Frameworks for Assessing Cost-Effectiveness Given Previous Nonoptimal Decisions,"Coyle, D.",2025,"The authors propose three decision frameworks for assessing cost-effectiveness given previous nonoptimal decisions: (1) the normative framework, which assumes only the optimal treatment is covered and others are defunded; (2) the current framework, which assesses whether the new technology is optimal but assumes existing technologies remain covered; and (3) the positivist framework, which incorporates previous reimbursement decisions and market shares of current technologies to assess whether coverage of the new technology increases overall population health.","The authors developed three alternative decision frameworks (normative, current, and positivist) for assessing cost-effectiveness in the context of multiple technologies covered for the same patient population. They used a simulated probabilistic Markov model for a chronic progressive condition to assess the implications of these frameworks. The model included multiple treatment options and health states, with inputs such as rates of progression, mortality, treatment costs, utilities, and market shares. They compared expected costs, QALYs, and net health benefits under different reimbursement scenarios and frameworks to illustrate differences in reimbursement recommendations and population health impacts.","The objective of the economic evaluation frameworks proposed is to identify which course of action by a decision maker would lead to the highest level of health within the population of interest given a budget constraint, specifically addressing the decision problem of whether a new technology should be covered considering previous nonoptimal decisions and multiple technologies already covered.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose three decision frameworks for assessing cost-effectiveness given previous nonoptimal decisions: (1) the normative framework, which assumes only the optimal treatment is covered and others are defunded; (2) the current framework, which assesses whether the new technology is optimal but assumes existing technologies remain covered; and (3) the positivist framework, which incorporates previous reimbursement decisions and market shares of current technologies to assess whether coverage of the new technology increases overall population health. Using the following development approach: The authors developed three alternative decision frameworks (normative, current, and positivist) for assessing cost-effectiveness in the context of multiple technologies covered for the same patient population. They used a simulated probabilistic Markov model for a chronic progressive condition to assess the implications of these frameworks. The model included multiple treatment options and health states, with inputs such as rates of progression, mortality, treatment costs, utilities, and market shares. They compared expected costs, QALYs, and net health benefits under different reimbursement scenarios and frameworks to illustrate differences in reimbursement recommendations and population health impacts. to address the following objective: The objective of the economic evaluation frameworks proposed is to identify which course of action by a decision maker would lead to the highest level of health within the population of interest given a budget constraint, specifically addressing the decision problem of whether a new technology should be covered considering previous nonoptimal decisions and multiple technologies already covered.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Synthetic / simulated evidence approaches,Evidence Integration & Generation,1,1,1,1,1,1,Moderate,0.718338713
Adopting life-cycle HTA: a tumor-agnostic precision oncology index economic evaluation from publicly available reimbursement reviews,"Cupples, G.",2025,"The authors propose using an open-source index economic evaluation based on a partitioned survival analysis (PartSA) framework to operationalize life-cycle health technology assessment (HTA) for tumor-agnostic therapies. This index model establishes how estimated cost-effectiveness evolves as new evidence emerges, supporting iterative decision-making throughout the technology's life cycle.","The authors developed an open-source index economic evaluation using partitioned survival analysis (PartSA) to determine tumor-agnostic and tumor-specific cost-effectiveness of entrectinib, parameterized with publicly available HTA reimbursement reviews. They used survival data, utility weights, and cost inputs from Canadian and international sources, conducted probabilistic sensitivity analyses, and scenario analyses including survival extrapolation and next-generation sequencing testing costs. The model was implemented in R for transparency and adaptability, with a 10-year time horizon and weekly cycle length, and validated using a checklist developed by CDA-AMC.","The objective was to replicate the initial HTA report from publicly available information, aiming to identify key operational and methodological aspects for operationalizing life-cycle decision-making.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose using an open-source index economic evaluation based on a partitioned survival analysis (PartSA) framework to operationalize life-cycle health technology assessment (HTA) for tumor-agnostic therapies. This index model establishes how estimated cost-effectiveness evolves as new evidence emerges, supporting iterative decision-making throughout the technology's life cycle. Using the following development approach: The authors developed an open-source index economic evaluation using partitioned survival analysis (PartSA) to determine tumor-agnostic and tumor-specific cost-effectiveness of entrectinib, parameterized with publicly available HTA reimbursement reviews. They used survival data, utility weights, and cost inputs from Canadian and international sources, conducted probabilistic sensitivity analyses, and scenario analyses including survival extrapolation and next-generation sequencing testing costs. The model was implemented in R for transparency and adaptability, with a 10-year time horizon and weekly cycle length, and validated using a checklist developed by CDA-AMC. to address the following objective: The objective was to replicate the initial HTA report from publicly available information, aiming to identify key operational and methodological aspects for operationalizing life-cycle decision-making.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Transparency & methodological quality standards,HTA Process Improvements,1,1,2,1,1,1.2,Moderate,0.150235957
Patient-reported outcomes in vaccines research: relevance for decision-making,"Curran, D.",2022,"The authors propose a patient-focused drug development (PFDD) framework that systematically captures and incorporates patients' experiences, perspectives, needs, and priorities into vaccine development and evaluation. This includes developing a comprehensive PRO strategy early in the research and development process, employing qualitative and quantitative research to establish content validity and select fit-for-purpose PRO instruments, integrating PRO endpoints into clinical trials (primary, secondary, or exploratory), and using appropriate statistical methodologies such as the burden-of-illness (BOI) statistic. The framework also emphasizes the use of electronic PRO data capture and virtual clinical trials to improve efficiency and representativeness, and the inclusion of PRO data in public health and cost-effectiveness models to inform decision-makers.","The authors conducted a literature review and synthesis of existing research methods utilizing patient-reported outcomes (PROs) in vaccine research, including qualitative and quantitative research, clinical trials, and patient preference studies. They discussed the development and validation of PRO instruments based on qualitative research with patients to establish content validity, psychometric assessment, and the integration of PROs into clinical trial programs and decision-making frameworks.","The objective of the patient-focused drug development (PFDD) framework developed by the FDA is to ensure that patients' experiences, perspectives, needs, and priorities are captured and meaningfully incorporated into drug/vaccine development and evaluation.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a patient-focused drug development (PFDD) framework that systematically captures and incorporates patients' experiences, perspectives, needs, and priorities into vaccine development and evaluation. This includes developing a comprehensive PRO strategy early in the research and development process, employing qualitative and quantitative research to establish content validity and select fit-for-purpose PRO instruments, integrating PRO endpoints into clinical trials (primary, secondary, or exploratory), and using appropriate statistical methodologies such as the burden-of-illness (BOI) statistic. The framework also emphasizes the use of electronic PRO data capture and virtual clinical trials to improve efficiency and representativeness, and the inclusion of PRO data in public health and cost-effectiveness models to inform decision-makers. Using the following development approach: The authors conducted a literature review and synthesis of existing research methods utilizing patient-reported outcomes (PROs) in vaccine research, including qualitative and quantitative research, clinical trials, and patient preference studies. They discussed the development and validation of PRO instruments based on qualitative research with patients to establish content validity, psychometric assessment, and the integration of PROs into clinical trial programs and decision-making frameworks. to address the following objective: The objective of the patient-focused drug development (PFDD) framework developed by the FDA is to ensure that patients' experiences, perspectives, needs, and priorities are captured and meaningfully incorporated into drug/vaccine development and evaluation.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Patient-centered valuation,Value & Decision-Making Frameworks,1,2,3,1,3,2,High,0.945783314
Considerations for Developing a Reassessment Process: Report from the Canadian Real-World Evidence for Value of Cancer Drugs (CanREValue) Collaboration's Reassessment and Uptake Working Group,"Dai, W. F.",2021,"The authors propose a reassessment process for cancer drugs led by HTA agencies, modeled after existing deliberation and recommendation frameworks used by HTA agencies such as CADTH. The process includes initiation by diverse stakeholders, eligibility review and prioritization, evaluation of evidence including real-world evidence, and categorization of reassessment outcomes into status quo, revisiting funding criteria or pricing, or discontinuing funding/delisting. The process emphasizes transparency, stakeholder engagement, and collaboration among regulators, academia, research organizations, and jurisdictions.","The authors used modified Delphi methods to guide discussion and gather collective opinion among the Reassessment and Uptake Working Group (RWG). They held four teleconferences and two in-person meetings between February 2018 and December 2019, followed by surveys after each teleconference to collect input. Responses were collated and major themes summarized to develop the framework.","The objective of the method/framework developed by the authors is to develop a process for incorporating real-world evidence (RWE) into health technology assessment (HTA) reassessment and to provide advice on strategies for using RWE to reassess drug funding decisions, specifically for funded cancer drugs in Canada.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a reassessment process for cancer drugs led by HTA agencies, modeled after existing deliberation and recommendation frameworks used by HTA agencies such as CADTH. The process includes initiation by diverse stakeholders, eligibility review and prioritization, evaluation of evidence including real-world evidence, and categorization of reassessment outcomes into status quo, revisiting funding criteria or pricing, or discontinuing funding/delisting. The process emphasizes transparency, stakeholder engagement, and collaboration among regulators, academia, research organizations, and jurisdictions. Using the following development approach: The authors used modified Delphi methods to guide discussion and gather collective opinion among the Reassessment and Uptake Working Group (RWG). They held four teleconferences and two in-person meetings between February 2018 and December 2019, followed by surveys after each teleconference to collect input. Responses were collated and major themes summarized to develop the framework. to address the following objective: The objective of the method/framework developed by the authors is to develop a process for incorporating real-world evidence (RWE) into health technology assessment (HTA) reassessment and to provide advice on strategies for using RWE to reassess drug funding decisions, specifically for funded cancer drugs in Canada.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",RWE integration & infrastructure,Evidence Integration & Generation,2,1,1,2,1,1.4,Moderate,0.396980197
Advancing the role of real-world evidence in comparative effectiveness research,"Daigl, M.",2024,The authors propose a methods flowchart to guide the choice of the most suitable analytical approach for comparative effectiveness research (CER) based on a well-defined research question and data availability. This flowchart helps decide when randomized studies or observational studies and single arm trials are appropriate and assists in selecting the right methodological approach.,"The authors performed a systematic literature review of scientific literature and evaluated existing regulatory and health technology assessment (HTA) guidance to identify and compare recommendations and best practices. Based on this review, they designed a methods flowchart to guide the choice of analytical approaches for comparative effectiveness research (CER) questions under various conditions.","The objective is to provide a tool that assists analysts and decision-makers in identifying the most suitable analytical approach for answering a comparative effectiveness research (CER) question, given specific data availability contexts.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a methods flowchart to guide the choice of the most suitable analytical approach for comparative effectiveness research (CER) based on a well-defined research question and data availability. This flowchart helps decide when randomized studies or observational studies and single arm trials are appropriate and assists in selecting the right methodological approach. Using the following development approach: The authors performed a systematic literature review of scientific literature and evaluated existing regulatory and health technology assessment (HTA) guidance to identify and compare recommendations and best practices. Based on this review, they designed a methods flowchart to guide the choice of analytical approaches for comparative effectiveness research (CER) questions under various conditions. to address the following objective: The objective is to provide a tool that assists analysts and decision-makers in identifying the most suitable analytical approach for answering a comparative effectiveness research (CER) question, given specific data availability contexts.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Unclassified,Unclassified,0,0,0,0,0,0,Not applicable,0.136728161
Research on the Construction of Comprehensive Evaluation Framework for Traditional Non-Pharmacological Tech-nology Based on Multi-Criteria Decision Analysis,"Dandan, A. I.",2023,"The authors propose a Multi-Criteria Decision Analysis (MCDA) framework using the Analytic Hierarchy Process (AHP) for evaluating and selecting deep learning models in healthcare research. This framework integrates multiple evaluation criteria and empirical data from literature to systematically compare DL models, allowing researchers to tailor criteria selection and assign weights based on their preferences.","The authors developed the method/framework by first conducting a literature review to identify relevant evaluation criteria for deep learning models in healthcare, organizing these criteria into a hierarchical structure. They then proposed a Multi-Criteria Decision Analysis (MCDA) framework using the Analytic Hierarchy Process (AHP), integrating empirical performance data from literature to systematically compare models. The framework allows users to select relevant criteria, assign weights via pairwise comparisons using Saaty's scale, and ranks alternatives based on weighted scores derived from literature data. The methodology includes consistency checks for pairwise comparisons and sensitivity analysis to assess the impact of criteria weights on model rankings.","The primary objective of the study is to propose a robust selection framework for deep learning algorithms in health-related research, leveraging the Analytic Hierarchy Process (AHP) method to integrate multiple evaluation criteria and empirical data from literature, enabling researchers to tailor criteria selection and assign weights according to their preferences, thus facilitating a more comprehensive and reliable decision-making process for selecting suitable deep learning models in healthcare applications.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a Multi-Criteria Decision Analysis (MCDA) framework using the Analytic Hierarchy Process (AHP) for evaluating and selecting deep learning models in healthcare research. This framework integrates multiple evaluation criteria and empirical data from literature to systematically compare DL models, allowing researchers to tailor criteria selection and assign weights based on their preferences. Using the following development approach: The authors developed the method/framework by first conducting a literature review to identify relevant evaluation criteria for deep learning models in healthcare, organizing these criteria into a hierarchical structure. They then proposed a Multi-Criteria Decision Analysis (MCDA) framework using the Analytic Hierarchy Process (AHP), integrating empirical performance data from literature to systematically compare models. The framework allows users to select relevant criteria, assign weights via pairwise comparisons using Saaty's scale, and ranks alternatives based on weighted scores derived from literature data. The methodology includes consistency checks for pairwise comparisons and sensitivity analysis to assess the impact of criteria weights on model rankings. to address the following objective: The primary objective of the study is to propose a robust selection framework for deep learning algorithms in health-related research, leveraging the Analytic Hierarchy Process (AHP) method to integrate multiple evaluation criteria and empirical data from literature, enabling researchers to tailor criteria selection and assign weights according to their preferences, thus facilitating a more comprehensive and reliable decision-making process for selecting suitable deep learning models in healthcare applications.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",MCDA / structured multi-criteria frameworks,Value & Decision-Making Frameworks,2,2,3,2,3,2.4,High,0.942183326
Verification of Decision-Analytic Models for Health Economic Evaluations: An Overview,"Dasbach, E. J.",2017,"The authors propose adapting model verification processes established in the software industry, including unit testing, ad hoc and exploratory testing, code reviews, mutation tests, model replication, and automating tests with a test suite, to verify health economic models. They recommend establishing best practices and guidelines for model verification in pharmacoeconomics and HTA, potentially through an ISPOR-SMDM Task Force.","The authors introduced and adapted model verification processes established in the software industry and other fields to health economic models. They reviewed software engineering quality assurance and control methods, such as unit testing, ad hoc and exploratory testing, code reviews, mutation tests, model replication, and test automation, and recommended integrating these into the development process of decision-analytic models to reduce errors and increase transparency.","The objective of the paper is to introduce methods from software engineering to verify health economic models, aiming to reduce errors and increase transparency, and to highlight key elements of guidance on relevant methods and verification tests available to model developers and users for comprehensively verifying a health economic model.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose adapting model verification processes established in the software industry, including unit testing, ad hoc and exploratory testing, code reviews, mutation tests, model replication, and automating tests with a test suite, to verify health economic models. They recommend establishing best practices and guidelines for model verification in pharmacoeconomics and HTA, potentially through an ISPOR-SMDM Task Force. Using the following development approach: The authors introduced and adapted model verification processes established in the software industry and other fields to health economic models. They reviewed software engineering quality assurance and control methods, such as unit testing, ad hoc and exploratory testing, code reviews, mutation tests, model replication, and test automation, and recommended integrating these into the development process of decision-analytic models to reduce errors and increase transparency. to address the following objective: The objective of the paper is to introduce methods from software engineering to verify health economic models, aiming to reduce errors and increase transparency, and to highlight key elements of guidance on relevant methods and verification tests available to model developers and users for comprehensively verifying a health economic model.","The method is less suitable for TCIM because it depends heavily on specialised data, digital or regulatory infrastructure, or formal payment and contracting arrangements that are rarely available in traditional and integrative medicine settings.",Transparency & methodological quality standards,HTA Process Improvements,1,1,2,1,1,1.2,Moderate,0.393274301
